GEOID,dac_status,nearest_sta_miles,second_nearest_sta_miles,stas_05mi,stas_10mi,stas_20mi,stas_55mi,stations,bg_sta1d,bg_sta2d
060014030001,80-85%,1.418334165118048,2.431183667497248,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014030002,80-85%,1.3612760765753702,2.6814128800641175,2,3,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014031001,not DAC status,1.5706989653084116,2.32592809199087,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014033001,80-85%,1.7826807128758588,3.2565017636160327,2,3,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014033002,80-85%,1.4383474409356967,2.906486620181243,2,3,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014034001,not DAC status,0.27487562189054726,2.3319546810589062,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014034002,not DAC status,1.2436138135278227,2.56375061701657,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014034003,not DAC status,1.1328847749789854,2.750881718873339,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014034004,not DAC status,1.0690661015051726,2.6870630453995257,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014035011,not DAC status,0.6572929417854022,1.9495373611640514,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014035012,not DAC status,1.1100858410670076,1.864028417546185,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014035013,not DAC status,1.3942542379504566,1.7298810885319036,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014035021,not DAC status,0.7107638514393981,2.249280585501399,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014035022,not DAC status,0.9694703191010897,2.1441000631772544,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014036001,not DAC status,0.6645998290505365,2.380532147124442,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014036002,not DAC status,0.7429580380057603,2.302173938169218,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014036003,not DAC status,0.5377341574087454,2.507397818766233,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014037011,not DAC status,0.44572470444397116,2.154702471293699,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014037012,not DAC status,0.24253731343283583,2.364292989516618,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014037021,not DAC status,0.2873134328358209,2.757818543339158,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014037022,not DAC status,0,2.6068303029494535,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014038001,not DAC status,1.1735127324096375,3.259154701747219,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014038002,not DAC status,0.8793585035539162,3.2070831346600928,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014038003,not DAC status,0.5270653420433248,2.7621627766442827,2,3,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014038004,not DAC status,0.8576585040166994,2.7397075679173826,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
